title,genre,gross
The Shawshank Redemption (1994),Drama,$28.34M
The Godfather (1972),"Crime, Drama",$134.97M
The Dark Knight (2008),"Action, Crime, Drama",$534.86M
The Godfather: Part II (1974),"Crime, Drama",$57.30M
The Lord of the Rings: The Return of the King (2003),"Action, Adventure, Drama",$377.85M
Pulp Fiction (1994),"Crime, Drama",$107.93M
Schindler's List (1993),"Biography, Drama, History",$96.90M
12 Angry Men (1957),"Crime, Drama",$4.36M
Inception (2010),"Action, Adventure, Sci-Fi",$292.58M
Fight Club (1999),Drama,$37.03M
The Lord of the Rings: The Fellowship of the Ring (2001),"Action, Adventure, Drama",$315.54M
Forrest Gump (1994),"Drama, Romance",$330.25M
"The Good, the Bad and the Ugly (1966)",Western,$6.10M
The Lord of the Rings: The Two Towers (2002),"Action, Adventure, Drama",$342.55M
The Matrix (1999),"Action, Sci-Fi",$171.48M
Goodfellas (1990),"Biography, Crime, Drama",$46.84M
Star Wars: Episode V - The Empire Strikes Back (1980),"Action, Adventure, Fantasy",$290.48M
One Flew Over the Cuckoo's Nest (1975),Drama,$112.00M
Parasite (2019),"Comedy, Drama, Thriller",$53.37M
Interstellar (2014),"Adventure, Drama, Sci-Fi",$188.02M
City of God (2002),"Crime, Drama",$7.56M
Spirited Away (2001),"Animation, Adventure, Family",$10.06M
Saving Private Ryan (1998),"Drama, War",$216.54M
The Green Mile (1999),"Crime, Drama, Fantasy",$136.80M
Life Is Beautiful (1997),"Comedy, Drama, Romance",$57.60M
Se7en (1995),"Crime, Drama, Mystery",$100.13M
The Silence of the Lambs (1991),"Crime, Drama, Thriller",$130.74M
Star Wars: Episode IV - A New Hope (1977),"Action, Adventure, Fantasy",$322.74M
Joker (2019),"Crime, Drama, Thriller",$335.45M
Whiplash (2014),"Drama, Music",$13.09M
The Intouchables (2011),"Biography, Comedy, Drama",$13.18M
The Prestige (2006),"Drama, Mystery, Sci-Fi",$53.09M
The Departed (2006),"Crime, Drama, Thriller",$132.38M
The Pianist (2002),"Biography, Drama, Music",$32.57M
Gladiator (2000),"Action, Adventure, Drama",$187.71M
American History X (1998),Drama,$6.72M
The Usual Suspects (1995),"Crime, Mystery, Thriller",$23.34M
Léon: The Professional (1994),"Action, Crime, Drama",$19.50M
The Lion King (1994),"Animation, Adventure, Drama",$422.78M
Terminator 2: Judgment Day (1991),"Action, Sci-Fi",$204.84M
Cinema Paradiso (1988),Drama,$11.99M
Back to the Future (1985),"Adventure, Comedy, Sci-Fi",$210.61M
Once Upon a Time in the West (1968),Western,$5.32M
Psycho (1960),"Horror, Mystery, Thriller",$32.00M
Your Name. (2016),"Animation, Drama, Fantasy",$5.02M
Dangal (2016),"Action, Biography, Drama",$12.39M
Spider-Man: Into the Spider-Verse (2018),"Animation, Action, Adventure",$190.24M
Avengers: Endgame (2019),"Action, Adventure, Drama",$858.37M
Avengers: Infinity War (2018),"Action, Adventure, Sci-Fi",$678.82M
